Date Time,temperature,humidity,CO_1,CO_2,CO_3,CO_4,CO_5,CO_6,CO_7,CO_8
2022-02-12 17:15:37,27.86,35.91,0,2,18,1,15,-129,3,-17
2022-02-12 17:15:45,27.84,35.92,0,1,19,2,15,-93,3,-18
2022-02-12 17:15:54,27.87,35.95,1,2,20,4,16,77,-2,-20
2022-02-12 17:16:02,27.86,35.97,0,2,21,1,15,-155,4,-19
2022-02-12 17:16:14,27.86,35.95,0,0,22,-6,18,979,-3,-19
2022-02-12 17:16:22,27.85,35.93,-1,1,21,1,17,-82,3,-18
2022-02-12 17:16:31,27.85,35.99,2,2,20,2,16,-94,3,-18
2022-02-12 17:16:40,27.87,35.97,1,0,21,-7,17,653,-3,-19
2022-02-12 17:16:48,27.85,35.96,-1,-2,20,-2,16,219,-1,-18
2022-02-12 17:16:56,27.86,35.96,-2,-1,20,-2,17,225,0,-19
2022-02-12 17:17:05,27.87,35.97,-1,1,20,8,16,-83,3,-18
2022-02-12 17:17:14,27.86,35.99,1,1,19,-4,16,-218,3,-19
2022-02-12 17:17:22,27.6,35.98,0,0,19,0,16,10,1,-19
2022-02-12 17:17:30,27.86,36.01,-1,0,19,-3,17,-37,3,-18
2022-02-12 17:17:38,27.63,35.98,0,1,19,0,15,-132,5,-18
2022-02-12 17:17:47,27.84,35.97,2,0,19,3,17,120,-2,-18
2022-02-12 17:17:55,27.79,35.92,1,1,18,-1,17,330,-4,-18
2022-02-12 17:18:04,27.84,36,2,1,18,0,15,-79,0,-18
2022-02-12 17:18:12,27.84,35.97,-1,0,19,-3,15,-294,3,-17
2022-02-12 17:18:26,27.85,36.01,-1,-1,18,2,16,-83,3,-17
2022-02-12 17:18:35,27.84,35.98,0,0,18,2,16,-66,2,-18
2022-02-12 17:18:43,27.85,35.98,0,2,18,-1,15,-84,2,-19
2022-02-12 17:18:54,27.85,35.99,-1,1,19,-3,16,-322,3,-17
2022-02-12 17:19:05,27.85,36,1,1,19,-9,16,161,-3,-18
2022-02-12 17:19:14,27.87,35.94,-1,1,19,-1,15,-334,3,-18
2022-02-12 17:19:23,27.67,36.03,3,1,17,1,15,-60,3,-17
2022-02-12 17:19:31,27.86,36,-1,0,19,-5,15,-80,4,-17
2022-02-12 17:19:43,27.86,35.99,2,1,17,8,15,-97,4,-17
2022-02-12 17:19:51,27.85,35.93,-1,-1,18,-10,16,180,-1,-18
2022-02-12 17:20:02,27.87,36,0,1,18,3,16,-215,3,-17
2022-02-12 17:20:11,27.85,36.01,1,2,18,0,16,64,-1,-18
2022-02-12 17:20:20,27.85,36.02,2,1,18,-1,17,314,-3,-18
2022-02-12 17:20:33,27.85,36.03,-2,-1,17,-6,16,796,-2,-17
2022-02-12 17:20:42,27.85,36.02,-1,0,18,-6,16,23,0,-18
2022-02-12 17:20:50,27.84,36.04,-2,-1,18,-3,16,268,-4,-18
2022-02-12 17:20:58,27.84,36.02,0,1,18,24,17,160,-3,-18
2022-02-12 17:21:07,27.83,36.09,1,0,17,-6,17,296,-3,-18
2022-02-12 17:21:15,27.84,36.03,-2,1,18,-13,16,118,1,-18
2022-02-12 17:21:23,27.85,36.03,1,3,17,1,16,-96,2,-18
2022-02-12 17:21:32,27.85,36.05,-2,-1,17,1,17,214,-4,-18
2022-02-12 17:21:41,27.85,36.08,1,1,17,4,14,-57,4,-18
2022-02-12 17:21:52,27.85,36.07,3,3,18,6,16,-100,3,-18
2022-02-12 17:22:01,27.87,36,-1,-1,17,-6,16,308,-3,-18
2022-02-12 17:22:09,27.84,36,0,1,19,1,15,-169,4,-18
2022-02-12 17:22:18,27.84,36.04,0,0,18,1,17,-36,1,-18
2022-02-12 17:22:26,27.84,36.04,-1,1,19,4,15,-218,3,-18
2022-02-12 17:22:40,27.84,36.08,0,2,18,10,15,-125,4,-19
2022-02-12 17:22:51,27.84,36.08,-1,-2,19,-7,17,298,-3,-18
2022-02-12 17:22:59,27.83,36.07,-2,2,18,1,15,-178,3,-18
2022-02-12 17:23:11,27.83,36.11,2,2,18,-2,15,-60,3,-18
2022-02-12 17:23:19,27.85,36.11,0,0,19,6,17,39,-2,-18
2022-02-12 17:23:28,27.84,36.07,2,0,18,-6,17,311,-3,-19
2022-02-12 17:23:36,27.84,36.1,3,0,18,5,17,79,-3,-19
2022-02-12 17:23:45,27.83,36.06,0,1,19,4,16,244,-3,-19
2022-02-12 17:23:54,27.84,36.03,2,0,18,-2,15,-58,0,-19
2022-02-12 17:24:02,27.83,36.08,0,1,20,5,17,244,-3,-18
2022-02-12 17:24:10,27.82,36.09,2,2,19,0,16,-61,3,-18
2022-02-12 17:24:20,27.82,36.1,2,0,21,8,16,27,-1,-1
2022-02-12 17:24:28,27.82,36.1,1,0,21,5,17,161,-3,-18
2022-02-12 17:24:37,27.83,36.1,0,2,19,1,15,-60,2,-18
2022-02-12 17:24:46,27.84,36.11,0,2,20,5,16,22,-1,-18
2022-02-12 17:24:54,27.83,36.1,1,0,20,-4,16,307,-3,-18
2022-02-12 17:25:03,27.82,36.11,2,0,20,5,17,244,-3,-18
2022-02-12 17:25:11,27.82,36.11,0,3,19,0,16,-73,2,-19
2022-02-12 17:25:19,27.82,36.12,-1,-2,20,-2,17,331,-4,-18
2022-02-12 17:25:28,27.85,36.08,3,0,20,4,17,381,-4,-18
